"","PoolID","Date","Time","pH","Temp","Notes"
"1",1,"8/13/2017","9:12",7.12700536292142,15.886,""
"2",2,"8/13/2017","9:25",8.0225499699978,15.241,""
"3",3,"8/13/2017","9:47",7.82366825972148,15.148,""
"4",4,"8/13/2017","10:18",7.61869014586533,15.301,""
"5",5,"8/13/2017","10:05",7.88686291824016,15.532,"bags for 5 and 7 were switched (I did not change the pH values here)"
"6",6,"8/13/2017","10:45",7.15736893498501,14.022,""
"7",7,"8/13/2017","10:38",7.30722403513357,14.607,"bags for 5 and 7 were switched (I did not change the pH values here)"
"8",8,"8/13/2017","10:57",8.27266290604117,16.871,""
"9",9,"8/13/2017","11:19",7.95045602754835,17.468,""
"10",10,"8/13/2017","11:35",7.59708985704215,16.732,""
"11",11,"8/13/2017","11:50",7.98959012033592,17.644,""
"12",12,"8/13/2017","12:09",8.01531617982555,17.308,""
"13",13,"8/13/2017","12:25",8.05710865494527,19.568,""
"14",14,"8/13/2017","12:42",7.93965604656811,13.692,""
"15",15,"8/13/2017","12:58",8.34737467664499,13.674,""
